DESIGNATOR,PART,VALUE,PACKAGE,DETAILS,PART #
,,,,,
1,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
2,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
3,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
4,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
5,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
6,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
7,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
8,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
9,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
10,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
11,LED,RED,SMT/REVERSE,"25 degree, 482mCd","EVERLIGHT, 91-21SURC/S530-A2/TR10"
,,,,,
U1,uC,Atmega328P-AU,32TQFP,,
,,,,,
C1,capacitor,10uF,0805,CERAMIC,
C2,capacitor,10uF,0805,CERAMIC,
C3,capacitor,0.1uF,0603,CERAMIC,
C4,capacitor,0.1uF,0603,CERAMIC,
C5,capacitor,0.1uF,0603,CERAMIC,
,,,,,
R1,resistor,100ohm,0603,,
R2,resistor,10k,0603,,
R3,resistor,10k,0603,,
R4,resistor,10k,0603,,
R5,resistor,10k,0603,,
R6,resistor,10k,0603,,
R7,resistor,10k,0603,,
R8,resistor,10k,0603,,
R9,resistor,10k,0603,,
R10,resistor,22M,0603,,
R11,resistor,22M,0603,,
R12,resistor,22M,0603,,
R13,resistor,22M,0603,,
R14,resistor,22M,0603,,
R15,resistor,22M,0603,,
R16,resistor,22M,0603,,
R17,resistor,2.2k,0603,,
R18,resistor,22M,0603,,
,,,,,
S1,switch,slide,SMT,,"C&K, JS102011SAQN"
J2,1/8” jack,stereo/switched,SMT,,Kobiconn 161-2805-E or CUI SJ1-3515-SMT
BH1,battery holder,CR2032,SMT,,"MEMORY PROTECTION DEVICES, BK-912"
